iter	RMSE
0	9.221569417
1	9.149063632
2	9.078856395
3	9.004723624
4	8.937652763
5	8.868042841
6	8.794772054
7	8.726902278
8	8.658805581
9	8.587543981
10	8.524924664
11	8.460654079
12	8.400573038
13	8.339468822
14	8.276175797
15	8.20900701
16	8.149530095
17	8.084133571
18	8.024148074
19	7.958643085
20	7.89795223
21	7.837689573
22	7.774089711
23	7.718093084
24	7.660215797
25	7.601108062
26	7.543929512
27	7.488013223
28	7.428350271
29	7.372922195
30	7.318766858
31	7.263767675
32	7.210850978
33	7.158260949
34	7.10821208
35	7.054201893
36	7.003825122
37	6.953041216
38	6.905789531
39	6.855312958
40	6.80783823
41	6.758059837
42	6.710729328
43	6.660969324
44	6.613163632
45	6.561446038
46	6.516221476
47	6.465950559
48	6.421045346
49	6.373075323
50	6.327565639
51	6.278232106
52	6.230056758
53	6.184395763
54	6.140744194
55	6.099869525
56	6.054382426
57	6.009604882
58	5.964157496
59	5.922990019
60	5.882311237
61	5.84122376
62	5.7987348
63	5.757132516
64	5.716276108
65	5.678859586
66	5.636457478
67	5.595268286
68	5.553690484
69	5.512531011
70	5.476460108
71	5.435940793
72	5.39866394
73	5.361891935
74	5.32122296
75	5.285865906
76	5.249943739
77	5.215491485
78	5.183300334
79	5.146549276
80	5.110834234
81	5.076636359
82	5.039808314
83	5.006676027
84	4.972973581
85	4.938580183
86	4.906955715
87	4.87133965
88	4.838302536
89	4.803927817
90	4.773751959
91	4.742306857
92	4.711042196
93	4.680855026
94	4.6513575
95	4.619676292
96	4.588202626
97	4.556467199
98	4.52820521
99	4.496900425
100	4.468175096
101	4.44093072
102	4.414898557
103	4.385472932
104	4.358560802
105	4.330003592
106	4.30053095
107	4.272564137
108	4.242659016
109	4.215611397
110	4.18939493
111	4.162774398
112	4.136333928
113	4.10987096
114	4.08282887
115	4.059033822
116	4.032894693
117	4.009164834
118	3.982383748
119	3.958224642
120	3.932955718
121	3.910016228
122	3.886665361
123	3.86366979
124	3.837947715
125	3.813157792
126	3.791065607
127	3.76688453
128	3.745938293
129	3.722163729
130	3.700425981
131	3.676135875
132	3.655033341
133	3.632941948
134	3.610491765
135	3.588702571
136	3.565964893
137	3.544000494
138	3.523587027
139	3.501695984
140	3.481995468
141	3.460730439
142	3.439451106
143	3.420477108
144	3.399457642
145	3.380073515
146	3.359696123
147	3.342027242
