iter	Passed	Remaining
0	1	633
1	3	922
2	4	707
3	4	603
4	5	534
5	7	615
6	7	555
7	8	510
8	8	475
9	9	447
10	9	424
11	9	405
12	10	389
13	10	374
14	11	362
15	11	353
16	12	346
17	12	338
18	13	329
19	13	322
20	13	315
21	14	309
22	14	303
23	15	297
24	15	293
25	15	288
26	16	284
27	16	281
28	17	277
29	17	274
30	17	271
31	18	267
32	18	265
33	19	262
34	19	259
35	19	256
36	20	254
37	20	251
38	21	249
39	21	247
40	21	245
41	22	243
42	22	241
43	23	240
44	23	239
45	24	237
46	24	236
47	25	235
48	25	234
49	25	233
50	26	231
51	26	230
52	27	235
53	30	250
54	34	275
55	35	280
56	37	292
57	41	313
58	42	317
59	43	318
60	44	322
61	46	325
62	46	325
63	61	419
64	67	448
65	67	446
66	68	442
67	69	444
68	70	441
69	71	436
70	71	432
71	72	428
72	72	424
73	73	420
74	73	415
75	73	411
76	74	407
77	74	403
78	74	399
79	75	395
80	75	391
81	76	388
82	76	384
83	77	382
84	77	379
85	78	376
86	78	373
87	78	369
88	79	366
89	79	363
90	80	360
91	80	356
92	80	353
93	81	350
94	81	347
95	81	345
96	82	342
97	82	339
98	83	336
99	83	334
100	83	331
101	84	328
102	84	326
103	85	324
104	85	322
105	86	319
106	86	317
107	86	315
108	87	312
109	87	310
110	87	308
111	88	305
112	88	303
113	89	301
114	89	299
115	89	297
116	90	295
117	91	297
118	92	295
119	92	293
120	93	291
121	93	289
122	93	287
123	94	286
124	95	286
125	96	285
126	96	283
127	97	283
128	98	282
129	99	283
130	109	308
131	111	309
132	114	314
133	115	315
134	116	313
135	120	321
136	121	322
137	122	321
138	123	321
139	129	333
140	130	332
141	133	336
142	136	339
143	139	343
144	139	341
145	140	340
146	140	338
147	141	336
148	141	334
149	142	332
150	142	330
151	143	328
152	143	326
153	144	324
154	144	322
155	145	320
156	145	318
157	146	316
158	146	314
159	147	312
160	147	310
161	147	308
162	148	306
163	148	305
164	150	304
165	150	302
166	150	301
167	151	299
168	151	297
169	152	295
170	152	293
171	153	291
172	153	290
173	153	288
174	154	286
175	154	284
176	155	282
177	155	281
178	155	279
179	156	277
180	156	275
181	156	274
182	157	272
183	157	270
184	158	269
185	158	267
186	158	266
187	159	264
188	159	262
189	160	261
190	160	259
191	160	258
192	161	256
193	161	255
194	162	253
195	162	252
196	162	250
197	163	249
198	164	248
199	164	247
200	165	246
201	168	247
202	169	247
203	170	246
204	170	245
205	173	247
206	174	247
207	186	261
208	187	260
209	191	264
210	194	266
211	197	268
212	201	271
213	202	270
214	205	272
215	206	271
216	207	270
217	207	268
218	208	266
219	208	265
220	209	263
221	209	262
222	209	260
223	210	259
224	210	257
225	211	255
226	211	254
227	211	252
228	212	251
229	213	250
230	213	248
231	213	247
232	214	245
233	214	243
234	214	242
235	215	240
236	215	239
237	215	237
238	216	236
239	216	234
240	216	233
241	217	231
242	217	230
243	218	228
244	218	227
245	218	226
246	219	224
247	219	223
248	219	221
249	220	220
250	220	219
251	221	217
252	221	216
253	221	214
254	222	213
255	222	212
256	223	211
257	223	209
258	224	208
259	224	207
260	224	205
261	225	204
262	225	203
263	225	201
264	226	200
265	226	199
266	226	198
267	227	196
268	227	195
269	228	194
270	228	193
271	229	192
272	229	190
273	229	189
274	230	188
275	230	187
276	231	186
277	231	184
278	232	183
279	232	182
280	232	181
281	233	180
282	233	179
283	233	177
284	234	176
285	234	175
286	235	174
287	235	173
288	235	172
289	236	171
290	236	169
291	237	168
292	237	167
293	237	166
294	238	165
295	239	164
296	239	163
297	240	162
298	241	162
299	242	161
300	242	160
301	243	159
302	244	159
303	245	158
304	246	157
305	246	156
306	247	155
307	248	154
308	249	153
309	249	152
310	249	151
311	250	150
312	250	149
313	251	148
314	252	148
315	252	147
316	252	146
317	253	145
318	262	148
319	264	148
320	267	149
321	269	149
322	272	149
323	274	148
324	275	148
325	278	148
326	279	148
327	280	147
328	281	146
329	282	145
330	282	144
331	283	143
332	284	142
333	284	141
334	285	140
335	285	139
336	286	138
337	286	137
338	287	136
339	287	135
340	288	134
341	288	133
342	289	132
343	289	131
344	290	130
345	291	129
346	292	128
347	292	127
348	293	126
349	293	125
350	294	124
351	294	123
352	295	122
353	295	121
354	296	120
355	296	119
356	296	118
357	297	117
358	297	116
359	297	115
360	298	114
361	298	113
362	299	112
363	299	111
364	299	110
365	300	109
366	300	108
367	301	108
368	301	107
369	301	106
370	302	105
371	307	105
372	309	105
373	310	104
374	313	104
375	315	103
376	316	103
377	318	102
378	320	102
379	325	102
380	326	101
381	326	100
382	327	100
383	328	99
384	329	98
385	330	97
386	331	96
387	335	96
388	337	96
389	337	95
390	338	94
391	341	93
392	342	93
393	343	92
394	344	91
395	345	90
396	346	89
397	346	88
398	346	87
399	347	86
400	347	85
401	348	84
402	348	83
403	348	82
404	349	81
405	349	80
406	350	80
407	350	79
408	350	78
409	351	77
410	351	76
411	352	75
412	352	74
413	353	73
414	353	72
415	353	71
416	354	70
417	354	69
418	355	68
419	355	67
420	355	66
421	356	65
422	356	64
423	357	64
424	357	63
425	357	62
426	358	61
427	358	60
428	358	59
429	359	58
430	359	57
431	360	56
432	360	55
433	360	54
434	361	53
435	361	53
436	362	52
437	362	51
438	362	50
439	363	49
440	363	48
441	364	47
442	364	46
443	365	46
444	365	45
445	365	44
446	366	43
447	366	42
448	367	41
449	367	40
450	368	40
451	368	39
452	369	38
453	370	37
454	370	36
455	372	35
456	374	35
457	375	34
458	377	33
459	378	32
460	380	32
461	380	31
462	389	31
463	393	30
464	397	29
465	400	29
466	403	28
467	404	27
468	405	26
469	406	25
470	406	25
471	407	24
472	407	23
473	408	22
474	408	21
475	409	20
476	409	19
477	409	18
478	410	17
479	410	17
480	411	16
481	411	15
482	411	14
483	412	13
484	412	12
485	412	11
486	413	11
487	413	10
488	414	9
489	414	8
490	414	7
491	415	6
492	415	5
493	416	5
494	416	4
495	417	3
496	418	2
497	419	1
498	419	0
499	419	0
